Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Land,Fylke,Postnummer,Kommune,Latitude,Longitude,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
3298000,Tomannsbolig,Eier (Selveier),3,100,100,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=157826864&location=0.22042&page=15&sort=PUBLISHED_DESC,157826864,"15 days, 0:00:00",1, Norge,Agder,4848, Arendal,58.4799514,8.7278514,15000,3313000,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
5190000,Enebolig,Eier (Selveier),4,154,160,2.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=155783958&location=0.22042&page=15&sort=PUBLISHED_DESC,155783958,"124 days, 0:00:00",1, Norge,Agder,4645, Kristiansand,58.1620149,7.8435751,26256,5216256,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5790000,Gårdsbruk/Småbruk,Eier (Selveier),5,337,401,,2000,,https://www.finn.no/realestate/homes/ad.html?finnkode=155796130,155796130,"1 day, 0:00:00",0, Norge,Agder,4440, Sirdal,58.639087,6.769342,160392,5950392,,452423,780236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278000,Tomannsbolig,Eier (Selveier),23,70,105,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=154994899&location=0.22042&page=15&sort=PUBLISHED_DESC,154994899,"71 days, 0:00:00",1,,Agder,,,,,14000,2612000,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
2290000,Tomannsbolig,Eier (Selveier),3,119,122,3,2010,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=153731891,153731891,0,0, Norge,Agder,4985, Vegårshei,58.7476978,8.8543108,62000,2352000,,0,409,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
6498000,Enebolig,Eier (Selveier),5,161,171,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=152396628&location=0.22042&page=15&sort=PUBLISHED_DESC,152396628,"235 days, 0:00:00",1, Norge,Agder,4790, Lillesand,58.2581596,8.3950989,150000,6748000,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3790000,Enebolig,Eier (Selveier),4,1427,149,,2021,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245710085,245710085,0:00:00,0, Norge,Agder,4820, Froland,58.5007984,8.6306436,110420,3900420,,,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4272313,Enebolig,Eier (Selveier),4,134,169,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=152210589&location=0.22042&page=16&sort=PUBLISHED_DESC,152210589,"98 days, 0:00:00",1, Norge,Agder,4658, Birkenes,58.266753,8.171679,102687,4375000,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490000,Garasje/Parkering,Eier (Selveier),0,42,42,,1967,,https://www.finn.no/realestate/homes/ad.html?finnkode=149522295,149522295,"34 days, 0:00:00",0, Norge,Agder,4647, Kristiansand,58.1442434,7.8817131,18722,508722,,641000,1030,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2400000,Leilighet,Eier (Selveier),2,80,80,,2019,,https://www.finn.no/realestate/homes/ad.html?finnkode=150078641,150078641,0,0, Norge,Agder,4550, Farsund,58.0956502,6.8097007,0,2400000,,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
