Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
2650000,Leilighet,Andel,2,78,79,1,1971,E - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245995259,245995259,"1 day, 0:00:00",0,Trøndelag,7075,2722075,,637402,,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1
1150000,Enebolig,Eier (Selveier),3,78,118,,1937,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246102422,246102422,0:00:00,0,Trøndelag,41692,1191692,12615,329654,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6290000,Leilighet,Eier (Selveier),3,99,121,2,2013,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=245628388,245628388,"1 day, 0:00:00",0,Trøndelag,165914,6455914,14612,1189863,18698,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1
,,,,,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=233350818&location=0.20016&page=1&sort=PUBLISHED_DESC,233350818,0,1,Trøndelag,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3390000,Andre,Eier (Selveier),2,59,63,1,1925,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245979545,245979545,"1 day, 0:00:00",0,Trøndelag,85920,3475920,,747067,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2150000,Leilighet,Eier (Selveier),2,75,82,1,1975,E - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246096746,246096746,"1 day, 0:00:00",0,Trøndelag,53750,2203750,,449565,901,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
3250000,Leilighet,Eier (Selveier),1,47,51,2,2018,B - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246096036,246096036,0:00:00,0,Trøndelag,92620,3342620,9792,660435,3476,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1
4500000,Enebolig,Eier (Selveier),4,161,175,,1990,D - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246079397,246079397,0:00:00,0,Trøndelag,128170,4628170,10903,975643,414,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1
2390000,Tomannsbolig,Eier (Selveier),2,67,73,1,2018,B - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=228798896,228798896,0:00:00,0,Trøndelag,75420,2465420,,420813,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3990000,Enebolig,Eier (Selveier),4,181,190,,1978,E - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246073615,246073615,0:00:00,0,Trøndelag,115420,4105420,12045,964951,1063,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
4350000,Leilighet,Eier (Selveier),2,69,71,1,2019,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246073018,246073018,0:00:00,0,Trøndelag,120120,4470120,13512,893411,1813,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1
1590000,Leilighet,Andel,,15,16,1,1908,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246072065,246072065,0:00:00,0,Trøndelag,12554,1612554,,338141,844,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3635000.0,,,,83.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239728392&location=0.20016&page=1&sort=PUBLISHED_DESC,239728392,0,1,Trøndelag,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5090000,Leilighet,Eier (Selveier),3,84,88,2.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245970917&location=0.20016&page=1&sort=PUBLISHED_DESC,245970917,"1 day, 0:00:00",1,Trøndelag,27142,5117142,,,,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
3890000,Leilighet,Eier (Selveier),2,60,60,1.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245976235&location=0.20016&page=1&sort=PUBLISHED_DESC,245976235,"1 day, 0:00:00",1,Trøndelag,27192,3917192,,,,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1760000.0,Enebolig,Andel,3,112,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=216903027&location=0.20016&page=1&sort=PUBLISHED_DESC,216903027,"1 day, 0:00:00",1,Trøndelag,23960,43739604473960,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3625000.0,Leilighet,Eier (Selveier),1.5,53.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=200315114&location=0.20016&page=1&sort=PUBLISHED_DESC,200315114,"1 day, 0:00:00",1,Trøndelag,2144024640,27714404524640,,,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3525000.0,Leilighet,Eier (Selveier),1.5,52.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=200320641&location=0.20016&page=1&sort=PUBLISHED_DESC,200320641,"1 day, 0:00:00",1,Trøndelag,2084024140,25208404572040,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3770000.0,Enebolig,Eier (Selveier),3,91.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=193514108&location=0.20016&page=1&sort=PUBLISHED_DESC,193514108,"1 day, 0:00:00",1,Trøndelag,11470,35614704001470,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5740000.0,Leilighet,Eier (Selveier),2.0,71.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=209635613&location=0.20016&page=1&sort=PUBLISHED_DESC,209635613,0:00:00,1,Trøndelag,11300,27013008801300,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
4140000.0,Leilighet,Eier (Selveier),2,57.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=180931755&location=0.20016&page=1&sort=PUBLISHED_DESC,180931755,"1 day, 0:00:00",1,Trøndelag,,,,,,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1
3990000,Enebolig,Eier (Selveier),4,136,148,,2022,,https://www.finn.no/realestate/homes/ad.html?finnkode=246048263,246048263,0:00:00,0,Trøndelag,100920,4090920,,,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4390000,Leilighet,Eier (Selveier),3,72,72,2,1900,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=237518268,237518268,"2 days, 0:00:00",0,Trøndelag,118820,4508820,13300,857275,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2190000,Leilighet,Eier (Selveier),0,29,29,1,2017,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=245626059,245626059,"2 days, 0:00:00",0,Trøndelag,56112,2247217,7692,575410,2216,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
3800000,Tomannsbolig,Eier (Selveier),3,131,147,,1970,F - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246017612,246017612,0:00:00,0,Trøndelag,106242,3906242,13656,962640,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3290000,Leilighet,Eier (Selveier),1,39,41,2,2022,,https://www.finn.no/realestate/homes/ad.html?finnkode=246013745,246013745,0:00:00,0,Trøndelag,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11990000,Enebolig,Eier (Selveier),6,214,312,2,1844,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=230573357,230573357,"2 days, 0:00:00",0,Trøndelag,301092,12291092,22356,1807363,1999,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
1350000,Leilighet,Andel,1,50,54,2,2006,E - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=246003922,246003922,0:00:00,0,Trøndelag,7860,2344974,,603107,3534,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
200000,Enebolig,Eier (Selveier),3,144,144,,,,https://www.finn.no/realestate/homes/ad.html?finnkode=245994918,245994918,"2 days, 0:00:00",0,Trøndelag,6170,206170,14850,430557,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4099000.0,,,,121.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239840063&location=0.20016&page=1&sort=PUBLISHED_DESC,239840063,0,1,Trøndelag,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6690000,,,,164,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245385949&location=0.20016&page=1&sort=PUBLISHED_DESC,245385949,0,1,Trøndelag,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3990000,Leilighet,Eier (Selveier),3,78,78,3,1986,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=233776956,233776956,"2 days, 0:00:00",0,Trøndelag,101092,4103375,14124,683295,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6590000,Leilighet,Eier (Selveier),3,111,111,4,1920,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=245415960,245415960,"4 days, 0:00:00",0,Trøndelag,183020,6773020,12128,1096698,2480,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0
