Finn_bolig_endret
Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID;Nybygg;Enhetsid;Solforhold;Utendørsareal;Tomteareal;Bruttoareal;Rom;Ant etasjer;Tomt;Renovert år;Areal;Boligselgerforsikring;Grunnflate;Festeavgift
Rekkehus;Eier (Selveier);2;72;78;;1986;;1660000;https://www.finn.no/realestate/homes/ad.html?finnkode=238918525;238918525;0;;;;315;;;;;;;;78;
Leilighet;Eier (Selveier);1;29;29;1;2003;D - rød;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238924035;238924035;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);1;;29;1;2021;;;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238818264&page=1&sort=PUBLISHED_DESC;238818264;1;;;;;;;;;;;;;
Enebolig;Eier (Selveier);4;129;134;2;1994;E - oransje;3900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238923749;238923749;0;;;;;;;;;;;;;
Leilighet;Andel;2;62;65;2;2004;D - rød;890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238922790;238922790;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);3;107;115;3.;2021;;7300000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238920898&page=1&sort=PUBLISHED_DESC;238920898;1;;Lyst og fint beliggende store vindusflater mot syd og med vestvendt balkong.;;;;4;5;;;;;;
Leilighet;Eier (Selveier);2.0;85.0;;;2021;;5925000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236874843&page=1&sort=PUBLISHED_DESC;236874843;1;;;;;;;;;;85.0;;;
Enebolig;Eier (Selveier);4;445;455;;1938;G - rød;28900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238922712;238922712;0;;;;1855;;;;;;;;;
Tomannsbolig;Eier (Selveier);2;79;84;1;2001;D - oransje;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=237756990;237756990;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;110;110;2;1993;C - rød;18000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238813422;238813422;0;;;;;;;;;;;;;
Leilighet;Andel;1;54;54;2;1949;G - oransje;1350000;https://www.finn.no/realestate/homes/ad.html?finnkode=238409001;238409001;0;;;;;;;;;;;;;
Leilighet;Andel;1;66;66;1;1984;F - rød;3050000;https://www.finn.no/realestate/homes/ad.html?finnkode=238921445;238921445;0;;;;;;;;;;;;;
Leilighet;Andel;2;71;77;4;2019;C - mørkegrønn;4190000;https://www.finn.no/realestate/homes/ad.html?finnkode=238921479;238921479;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;68;72;1;2007;D - rød;2840000;https://www.finn.no/realestate/homes/ad.html?finnkode=233798935;233798935;0;;;;;;;;;;;;;
Leilighet;Andel;2;71;71;3;1952;F - oransje;6380000;https://www.finn.no/realestate/homes/ad.html?finnkode=238909348;238909348;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;58;62;3.;2021;;3690000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238920588&page=1&sort=PUBLISHED_DESC;238920588;1;3302;Vestvendt beliggenhet.;Stor terrasse med glassrekkverk. Skjermet beliggenhet inn mot takhagen.;;;;;;;;;;
Leilighet;Andel;1;43;43;1;2008;E - mørkegrønn;2300000;https://www.finn.no/realestate/homes/ad.html?finnkode=237726644;237726644;0;;;;;;;;;;;;;
Leilighet;Andel;1;20;20;5;1939;D - mørkegrønn;2700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238519535;238519535;0;;;;;;;;;;;;;
Leilighet;Andel;1;170;20;5;2021;;7990000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238915507&page=2&sort=PUBLISHED_DESC;238915507;1;;;;;;;;;;;;;
Enebolig;Eier (Selveier);4;209;282;;1910;G - gul;5050000;https://www.finn.no/realestate/homes/ad.html?finnkode=235349796;235349796;0;;;;967;;;;;;;;;
Tomannsbolig;Andel;3;115;121;;1978;;1870000;https://www.finn.no/realestate/homes/ad.html?finnkode=238740119;238740119;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);0;30;33;2;2019;C - mørkegrønn;2600000;https://www.finn.no/realestate/homes/ad.html?finnkode=232999527;232999527;0;;;;;;;;;;;;;
Tomannsbolig;Eier (Selveier);3;125;170;;1900;;3800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238901290;238901290;0;;;;775;198;;;;;;;;
Leilighet;Andel;2;65;65;;2007;D - mørkegrønn;450000;https://www.finn.no/realestate/homes/ad.html?finnkode=238919741;238919741;0;;;;4245;;;;;;;;;
Rekkehus;Eier (Selveier);3;167;175;;1980;E - gul;4490000;https://www.finn.no/realestate/homes/ad.html?finnkode=238919466;238919466;0;;;;124;;;;;;;;;
Enebolig;Eier (Selveier);3;133;174;;1952;;1950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238835844;238835844;0;;;;2115;;4;;;;;;;
Leilighet;Eier (Selveier);3;102;105;3;2018;;5990000;https://www.finn.no/realestate/homes/ad.html?finnkode=215840836;215840836;0;;;;5099;;;;;;;;;
Enebolig;Eier (Selveier);3;184;207;2;1962;F - gul;6490000;https://www.finn.no/realestate/homes/ad.html?finnkode=238801477;238801477;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;68;68;;2007;D - rød;3190000;https://www.finn.no/realestate/homes/ad.html?finnkode=238919078;238919078;0;;;;8420;;;;;;;;;
Gårdsbruk/Småbruk;Eier (Selveier);1;63;63;1;2021;G - rød;1000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238899888;238899888;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);1;43;46;−2;2020;D - mørkegrønn;3900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238812647;238812647;0;;;;;;;;;;;;;
Leilighet;Andel;3;82;82;2;1962;;1990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238918300;238918300;0;;;;;;4;;;;;;;
Leilighet;Andel;3;67;70;4;1961;E - rød;3590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238918213;238918213;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);1;59;64;1;2016;B - mørkegrønn;3300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238812334;238812334;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);1;48;48;3;2006;D - mørkegrønn;2650000;https://www.finn.no/realestate/homes/ad.html?finnkode=238917624;238917624;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;107;107;4;2016;B - gul;6700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238893719;238893719;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;169;107;4;2021;;8350000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238912411&page=2&sort=PUBLISHED_DESC;238912411;1;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;73;73;4.;2021;;5095000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238915169&page=2&sort=PUBLISHED_DESC;238915169;1;Teglværket B1-104;;;;;3;1;;;;;;
Enebolig;Eier (Selveier);5;195;217;;1960;F - gul;5320000;https://www.finn.no/realestate/homes/ad.html?finnkode=235947083;235947083;0;;;;786;;;;;;;;;
Rekkehus;Eier (Selveier);3;95;99;;1994;E - rød;2400000;https://www.finn.no/realestate/homes/ad.html?finnkode=238917169;238917169;0;;;;228;;;;;;;;;
Gårdsbruk/Småbruk;Eier (Selveier);;312;486;;1940;F - gul;10700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238917014;238917014;0;;;;;;;;Eiet;;;;;
Enebolig;Eier (Selveier);3;103;110;1;1969;G - oransje;3000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238830236;238830236;0;;;;;;;;;;;;;
Leilighet;Andel;2;88;88;1;1969;G - oransje;2390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238916822;238916822;0;;;;;;;;;;;;;
Leilighet;Andel;2;63;66;2;1965;;2795000;https://www.finn.no/realestate/homes/ad.html?finnkode=238916807;238916807;0;;;;;;3;;;;;;;
Tomannsbolig;Eier (Selveier);5;277;289;2;1973;E - gul;8950000;https://www.finn.no/realestate/homes/ad.html?finnkode=237324092;237324092;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);3;124;134;2;1928;;2300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238892835;238892835;0;;;;;;5;;;;;;;
Enebolig;Eier (Selveier);4;142;168;2;1950;C - rød;3900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907786;238907786;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);3;113;137;;1917;G - gul;2930000;https://www.finn.no/realestate/homes/ad.html?finnkode=237261082;237261082;0;;;;;;;;;2013;;;;
Leilighet;Eier (Selveier);2;68;72;3;1920;C - mørkegrønn;4490000;https://www.finn.no/realestate/homes/ad.html?finnkode=238788443;238788443;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;78;78;4;1984;;8190000;https://www.finn.no/realestate/homes/ad.html?finnkode=238915624;238915624;0;;;;;;3;;;;;;;
Leilighet;Eier (Selveier);2;115;120;3;2011;;5490000;https://www.finn.no/realestate/homes/ad.html?finnkode=238837172;238837172;0;;;;;;3;;;;;;;
Enebolig;Eier (Selveier);1;86;93;1;1947;G - gul;2490000;https://www.finn.no/realestate/homes/ad.html?finnkode=229002878;229002878;0;;;;;;;;;;;;;
Rekkehus;Andel;3;121;130;;1984;D - gul;4350000;https://www.finn.no/realestate/homes/ad.html?finnkode=238915324;238915324;0;;;;28274;;;;;;;;;
Enebolig;Eier (Selveier);3;119;120;;1973;F - gul;2390000;https://www.finn.no/realestate/homes/ad.html?finnkode=221474852;221474852;0;;;;902;;;;;;;;;
