Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,Boligselgerforsikring,Grunnflate,Festeavgift
Enebolig,Eier (Selveier),5,222,240,,1971,G - mørkegrønn,5700000,https://www.finn.no/realestate/homes/ad.html?finnkode=230689967,230689967,0,,,,1275,,,,,,,,,
Leilighet,Eier (Selveier),2,82,82,2,2010,C - mørkegrønn,2290000,https://www.finn.no/realestate/homes/ad.html?finnkode=239141144,239141144,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),1,161,184,,1965,F - gul,2290000,https://www.finn.no/realestate/homes/ad.html?finnkode=239225651,239225651,0,,,,1640,,,,,,,,,
Rekkehus,Andel,3,103,129,3,1966,,2490000,https://www.finn.no/realestate/homes/ad.html?finnkode=239214943,239214943,0,,,,,,4,,,,,,,
Leilighet,Aksje,1,52,52,4,1939,F - mørkegrønn,4350000,https://www.finn.no/realestate/homes/ad.html?finnkode=239025217,239025217,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,86,86,,2021,,4340000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239225580&page=1&sort=PUBLISHED_DESC,239225580,1,11,,,,,3,,,,,,,
Enebolig,Eier (Selveier),3,89,95,,1997,,1750000,https://www.finn.no/realestate/homes/ad.html?finnkode=239225226,239225226,0,,,,518,,,,,,,,,
Rekkehus,Eier (Selveier),3,103,103,,1978,F - rød,4650000,https://www.finn.no/realestate/homes/ad.html?finnkode=234506854,234506854,0,,,,,,5,,,,,,,
Leilighet,Eier (Selveier),2,85,88,3,1898,G - mørkegrønn,7400000,https://www.finn.no/realestate/homes/ad.html?finnkode=234579028,234579028,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),2,114,114,1,1973,F - gul,2000000,https://www.finn.no/realestate/homes/ad.html?finnkode=237513169,237513169,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,42,42,-1,1967,G - rød,3490000,https://www.finn.no/realestate/homes/ad.html?finnkode=239224780,239224780,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,222,226,,2021,,26500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239224531,239224531,0,,,,,,6,,Eiet,,,,,
Leilighet,Andel,2,67,75,1,1963,,2950000,https://www.finn.no/realestate/homes/ad.html?finnkode=239223757,239223757,0,,,,,,3,,,,,,,
Leilighet,Andel,2,72,72,1,2009,D - rød,1350000,https://www.finn.no/realestate/homes/ad.html?finnkode=239224488,239224488,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,203,213,2,1959,F - gul,4250000,https://www.finn.no/realestate/homes/ad.html?finnkode=239205251,239205251,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,68,68,2,1907,G - rød,6300000,https://www.finn.no/realestate/homes/ad.html?finnkode=237943222,237943222,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,83,89,1,2014,C - rød,2290000,https://www.finn.no/realestate/homes/ad.html?finnkode=239218999,239218999,0,,,,,,,,,,,,,
