Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Land,Fylke,Postnummer,Kommune,Latitude,Longitude,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
3590000,Leilighet,Eier (Selveier),3,92,97,1,2015,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=245439728,245439728,"4 days, 0:00:00",0, Norge,Agder,4634, Kristiansand,58.186065,8.040323,91092,3681092,,910618,3194,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1
2790000,Rekkehus,Eier (Selveier),4,138,146,3,1984,F - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246095601,246095601,0:00:00,0, Norge,Agder,4843, Arendal,58.4769646,8.7857721,71092,2861092,13737,567579,180,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
2973000.0,,,,67,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239949730&location=0.22042&page=1&sort=PUBLISHED_DESC,239949730,0,1,,Agder,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850000,Enebolig,Eier (Selveier),3,185,227,,1954,,https://www.finn.no/realestate/homes/ad.html?finnkode=246104091,246104091,0:00:00,0, Norge,Agder,4560, Farsund,58.09784,6.6818502,61892,1911892,,,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3650000,Leilighet,Eier (Selveier),2,113,126,4,2016,C - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246102109,246102109,0:00:00,0,,Agder,,,,,100242,3750242,5000,,4139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5350000,Enebolig,Eier (Selveier),,126,149,,,,https://www.finn.no/realestate/homes/ad.html?finnkode=246092954,246092954,0:00:00,0, Norge,Agder,, Hagen,58.1562327,7.1142397,,,,,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850000,Rekkehus,Eier (Selveier),3,97,101,,1998,,https://www.finn.no/realestate/homes/ad.html?finnkode=235971337,235971337,0:00:00,0, Norge,Agder,4560, Farsund,58.0968129,6.6855849,58120,1908120,11335,386425,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4040000.0,,,,80.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=215153979&location=0.22042&page=1&sort=PUBLISHED_DESC,215153979,0,1,,Agder,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2775000.0,Leilighet,Eier (Selveier),2,65.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=223589150&location=0.22042&page=1&sort=PUBLISHED_DESC,223589150,0:00:00,1,,Agder,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
4990000,Leilighet,Eier (Selveier),3,85,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=200283793&location=0.22042&page=1&sort=PUBLISHED_DESC,200283793,0:00:00,1, Norge,Agder,4700, Vennesla,58.272114,7.972436,16100,5006100,,,,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1
2300000.0,Leilighet,Eier (Selveier),2,73.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=154352633&location=0.22042&page=1&sort=PUBLISHED_DESC,154352633,0:00:00,1, Norge,Agder,4580, Lyngdal,58.1592483,7.0979646,87228842,21588422458842,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3395000.0,Leilighet,Eier (Selveier),3,85,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=193473143&location=0.22042&page=1&sort=PUBLISHED_DESC,193473143,0:00:00,1,,Agder,,,,,16505,33115053511505,,,,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
2490000,Enebolig,Eier (Selveier),3,146,160,,1978,,https://www.finn.no/realestate/homes/ad.html?finnkode=246041631,246041631,0:00:00,0, Norge,Agder,4760, Birkenes,58.3326808,8.2365499,75092,2565092,,528565,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190000,Tomannsbolig,Eier (Selveier),2,92,92,,1992,,https://www.finn.no/realestate/homes/ad.html?finnkode=246014023,246014023,0:00:00,0, Norge,Agder,4790, Lillesand,58.2590681,8.3744664,70620,2260620,10121,,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090000,Tomannsbolig,Eier (Selveier),3,97,103,,1972,E - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246009115,246009115,0:00:00,0, Norge,Agder,4865, Åmli,58.7702895,8.4930151,42920,1132920,20148,326385,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2475000,Leilighet,Eier (Selveier),2,67,72,1,2014,D - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=173995353,173995353,0:00:00,0, Norge,Agder,4639, Kristiansand,58.1269764,8.0974417,,,9837,696214,2521,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
2550000,Leilighet,Eier (Selveier),1,75,78,2,2013,,https://www.finn.no/realestate/homes/ad.html?finnkode=167372565,167372565,"1 day, 0:00:00",0, Norge,Agder,4407, Flekkefjord,58.293849,6.666107,64920,2614920,,428640,7662,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
590000,Leilighet,Andel,,65,68,2,,,https://www.finn.no/realestate/homes/ad.html?finnkode=215988575,215988575,0:00:00,0, Norge,Agder,4824, Arendal,58.4389443,8.7077967,7860,2524860,,,7057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650000,Leilighet,Andel,2,69,72,3,2014,C - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=233014457,233014457,0:00:00,0, Norge,Agder,4824, Arendal,58.4389443,8.7077967,7860,2697860,,,7057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590000,Tomter,Eier (Selveier),,,,,2017,,https://www.finn.no/realestate/homes/ad.html?finnkode=245994303,245994303,0:00:00,0, Norge,Agder,4521, Lindesnes,58.0460662,7.1582778,30620,620620,,444447,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850000,Leilighet,Eier (Selveier),1,46,54,1,2000,,https://www.finn.no/realestate/homes/ad.html?finnkode=204680801,204680801,"1 day, 0:00:00",0, Norge,Agder,4404, Flekkefjord,58.301458,6.636244,22420,872420,,,1092,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2300000,Enebolig,Eier (Selveier),4,204,260,,1980,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=217624904,217624904,0:00:00,0, Norge,Agder,4735, Evje og Hornnes,58.5899658,7.8207699,80642,2380642,12316,,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6500000,Enebolig,Eier (Selveier),3,132,152,,1970,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245980877,245980877,0:00:00,0, Norge,Agder,4637, Kristiansand,58.1618082,8.0619695,178142,6678142,11887,533567,1312,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
