Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
3515000.0,Leilighet,Eier (Selveier),2,73,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245610590&location=0.22038&page=1&sort=PUBLISHED_DESC,245610590,"1 day, 0:00:00",1,Vestfold og Telemark,28842,35188423568842,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
2450000,Enebolig,Eier (Selveier),4,128,215,2,1962,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246085175,246085175,"1 day, 0:00:00",0,Vestfold og Telemark,62622,2512622,12088,792694,1041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1300000,Leilighet,Andel,1,40,43,2,2021,,https://www.finn.no/realestate/homes/ad.html?finnkode=246088166,246088166,"1 day, 0:00:00",0,Vestfold og Telemark,1132,2476132,,,2335,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1525000,Leilighet,Andel,3,77,78,3,1959,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246087175,246087175,0:00:00,0,Vestfold og Telemark,8660,1742237,,542844,3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290000,Leilighet,Eier (Selveier),2,93,93,3,1985,,https://www.finn.no/realestate/homes/ad.html?finnkode=246074484,246074484,"1 day, 0:00:00",0,Vestfold og Telemark,59185,2368833,7058,526929,6706,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0
5840000,,,,134,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=236734172&location=0.22038&page=1&sort=PUBLISHED_DESC,236734172,0,1,Vestfold og Telemark,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4690000,Enebolig,Eier (Selveier),3,175,221,,1981,E - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246073882,246073882,0:00:00,0,Vestfold og Telemark,131270,4821270,10221,1074232,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350000,Leilighet,Andel,2,72,80,2,1966,F - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246071402,246071402,0:00:00,0,Vestfold og Telemark,6232,1778274,,475283,69135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890000,Leilighet,Andel,2,59,63,1,2006,D - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245993281,245993281,"1 day, 0:00:00",0,Vestfold og Telemark,1432,1815692,,582049,4899,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
2475000,Leilighet,Aksje,2,72,72,2,1972,,https://www.finn.no/realestate/homes/ad.html?finnkode=246061644,246061644,0:00:00,0,Vestfold og Telemark,14600,2682484,,,831,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
3490000,Tomannsbolig,Eier (Selveier),2,90,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239930185&location=0.22038&page=1&sort=PUBLISHED_DESC,239930185,"1 day, 0:00:00",1,Vestfold og Telemark,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5760000,Enebolig,Eier (Selveier),4,129,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=216915456&location=0.22038&page=1&sort=PUBLISHED_DESC,216915456,"1 day, 0:00:00",1,Vestfold og Telemark,36420,5796420,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1586000.0,Leilighet,Andel,1.5,64.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=216905735&location=0.22038&page=1&sort=PUBLISHED_DESC,216905735,"1 day, 0:00:00",1,Vestfold og Telemark,16512,28065125006512,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
