Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
3700000.0,Leilighet,Eier (Selveier),1,44.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=193630702&location=0.22030&page=1&sort=PUBLISHED_DESC,193630702,0:00:00,1,Viken,9259295092,37425923845092,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150000.0,Leilighet,Andel,2.0,67.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=233486678&location=0.22030&page=1&sort=PUBLISHED_DESC,233486678,0:00:00,1,Viken,1369619071,29136965719071,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
3593000.0,,,,87.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=210892176&location=0.22030&page=1&sort=PUBLISHED_DESC,210892176,0,1,Viken,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000000.0,Leilighet,Eier (Selveier),2.5,79.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=173992747&location=0.22030&page=1&sort=PUBLISHED_DESC,173992747,0:00:00,1,Viken,2654232412,52765426782262,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6200000,Leilighet,Eier (Selveier),2,99,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=118297007&location=0.22030&page=1&sort=PUBLISHED_DESC,118297007,0:00:00,1,Viken,,,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
5445000.0,Leilighet,Eier (Selveier),2.5,86.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=149866119&location=0.22030&page=1&sort=PUBLISHED_DESC,149866119,0:00:00,1,Viken,2989733527,45248976428527,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000000,Enebolig,Eier (Selveier),4,167,167,,2001,,https://www.finn.no/realestate/homes/ad.html?finnkode=246157286,246157286,0:00:00,0,Viken,140642,5140642,19845,915285,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2750000,Enebolig,Eier (Selveier),3,150,185,1,1982,E - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=242858659,242858659,"1 day, 0:00:00",0,Viken,69920,2819920,15000,2750000,434,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1
,,,,,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=246139557&location=0.22030&page=1&sort=PUBLISHED_DESC,246139557,0,1,Viken,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000,Leilighet,Andel,2,64,64,1,1963,F - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=244457170,244457170,"1 day, 0:00:00",0,Viken,7127,1751710,,467277,27640,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
