Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Eieform,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,dato:21.06: ca. sol fra 15:30 - 21:30,Boligselgerforsikring,Grunnflate
Leilighet,Eier (Selveier),2,169 ,107,4,2021,,8350000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238912411&page=1&sort=PUBLISHED_DESC,238912411,1,,,,,,,,,,,,,,
Rekkehus,Eier (Selveier),3,95,99,,1994,E - rød,2400000,https://www.finn.no/realestate/homes/ad.html?finnkode=238917169,238917169,0,,,,,228 m² (eiet),,,,,,,,,
Leilighet,,2,73 ,73,4.,2021,,5095000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238915169&page=1&sort=PUBLISHED_DESC,238915169,1,Eier (Selveier),Teglværket B1-104,,,,,3,1,,,,,,
Enebolig,Eier (Selveier),5,195,217,,1960,F - gul,5320000,https://www.finn.no/realestate/homes/ad.html?finnkode=235947083,235947083,0,,,,,786 m² (eiet),,,,,,,,,
Gårdsbruk/Småbruk,Eier (Selveier),,312,486,,1940,F - gul,10700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238917014,238917014,0,,,,,,,,,Eiet,,,,,
Enebolig,Eier (Selveier),3,103,110,1,1969,G - oransje,3000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238830236,238830236,0,,,,,,,,,,,,,,
Leilighet,Andel,2,88,88,1,1969,G - oransje,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238916822,238916822,0,,,,,,,,,,,,,,
Leilighet,Andel,2,63,66,2,1965,,2795000,https://www.finn.no/realestate/homes/ad.html?finnkode=238916807,238916807,0,,,,,,,3,,,,,,,
Tomannsbolig,Eier (Selveier),5,277,289,2,1973,E - gul,8950000,https://www.finn.no/realestate/homes/ad.html?finnkode=237324092,237324092,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,124,134,2,1928,,2300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238892835,238892835,0,,,,,,,5,,,,,,,
Enebolig,Eier (Selveier),4,142,168,2,1950,C - rød,3900000,https://www.finn.no/realestate/homes/ad.html?finnkode=238907786,238907786,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,113,137,,1917,G - gul,2930000,https://www.finn.no/realestate/homes/ad.html?finnkode=237261082,237261082,0,,,,,,,,,,2013,,,,
Leilighet,Eier (Selveier),2,68,72,3,1920,C - mørkegrønn,4490000,https://www.finn.no/realestate/homes/ad.html?finnkode=238788443,238788443,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,78,78,4,1984,,8190000,https://www.finn.no/realestate/homes/ad.html?finnkode=238915624,238915624,0,,,,,,,3,,,,,,,
Leilighet,Eier (Selveier),2,115,120,3,2011,,5490000,https://www.finn.no/realestate/homes/ad.html?finnkode=238837172,238837172,0,,,,,,,3,,,,,,,
Enebolig,Eier (Selveier),1,86,93,1,1947,G - gul,2490000,https://www.finn.no/realestate/homes/ad.html?finnkode=229002878,229002878,0,,,,,,,,,,,,,,
Rekkehus,Andel,3,121,130,,1984,D - gul,4350000,https://www.finn.no/realestate/homes/ad.html?finnkode=238915324,238915324,0,,,,,28274 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),3,119,120,,1973,F - gul,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=221474852,221474852,0,,,,,902 m² (eiet),,,,,,,,,
Leilighet,Andel,2,65,72,1,1962,G - mørkegrønn,3240000,https://www.finn.no/realestate/homes/ad.html?finnkode=223695343,223695343,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,83,86,6,2017,D - mørkegrønn,6100000,https://www.finn.no/realestate/homes/ad.html?finnkode=237788274,237788274,0,,,,,,,,,,,,,,
Enebolig,,3,138 ,150,,2021,,5590000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238890384&page=2&sort=PUBLISHED_DESC,238890384,1,Eier (Selveier),,,,,,,,,,,,,
Enebolig,Eier (Selveier),2,112,157,,1946,G - gul,2350000,https://www.finn.no/realestate/homes/ad.html?finnkode=238901593,238901593,0,,,,,,,3,,,,,,,
Leilighet,Eier (Selveier),2,58,58,1,1919,,2800000,https://www.finn.no/realestate/homes/ad.html?finnkode=238913925,238913925,0,,,,,,,2,,,,,,,
Leilighet,Andel,2,65,65,1,1951,F - oransje,2700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238833438,238833438,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,83,85,1,1942,G - rød,3690000,https://www.finn.no/realestate/homes/ad.html?finnkode=229456578,229456578,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),2,81,84,1,2005,D - rød,2890000,https://www.finn.no/realestate/homes/ad.html?finnkode=238913237,238913237,0,,,,,,,,,,,,,,
Leilighet,,1 - 3,74.5,,,2021,,5575000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=218322193&page=2&sort=PUBLISHED_DESC,218322193,1,Eier (Selveier),,,,,,,,,,44 - 105 m²,,,
Enebolig,,3,128.5,,,2021,,4265000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238912766&page=2&sort=PUBLISHED_DESC,238912766,1,Eier (Selveier),,,,,,,,,,114 - 143 m²,,,
Enebolig,Eier (Selveier),3,155,246,,1969,F - gul,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238912287,238912287,0,,,,,1005 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,86,93,4,2014,D - mørkegrønn,3790000,https://www.finn.no/realestate/homes/ad.html?finnkode=214188001,214188001,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,89,89,,1986,E - gul,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238910655,238910655,0,,,,,803 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,86,89,4,1976,D - mørkegrønn,4890000,https://www.finn.no/realestate/homes/ad.html?finnkode=238910334,238910334,0,,,,,,,,,,,,,,
Annet fritid,Eier (Selveier),2,45,56,,1967,G - oransje,1750000,https://www.finn.no/realestate/homes/ad.html?finnkode=238909452,238909452,0,,,,,,,3,,,,,,,
Leilighet,Eier (Selveier),,30,30,,2005,C - rød,2290000,https://www.finn.no/realestate/homes/ad.html?finnkode=238909336,238909336,0,,,,,10122 m² (eiet),,1,,,,,,,
Enebolig,Eier (Selveier),2,178,186,2,1980,F - rød,7500000,https://www.finn.no/realestate/homes/ad.html?finnkode=236012887,236012887,0,,,,,,,,,,,,,,
Rekkehus,Andel,3,135,142,,1969,G - oransje,2950000,https://www.finn.no/realestate/homes/ad.html?finnkode=238907857,238907857,0,,,,,,,5,,,,,,,
Leilighet,Eier (Selveier),1,102,102,6,1931,G - mørkegrønn,8650000,https://www.finn.no/realestate/homes/ad.html?finnkode=230699720,230699720,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,45,45,2,1951,G - oransje,3620000,https://www.finn.no/realestate/homes/ad.html?finnkode=232235549,232235549,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),8,262,276,,1978,E - oransje,4500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238908270,238908270,0,,,,,4680 m² (eiet),,,,,,,,,
Leilighet,Andel,2,56,60,4,2021,C - mørkegrønn,1180000,https://www.finn.no/realestate/homes/ad.html?finnkode=235445685,235445685,0,,,,,,,,,,,,,,
Leilighet,,1 - 3,69.5,,,2021,,6600000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238907983&page=2&sort=PUBLISHED_DESC,238907983,1,Eier (Selveier),,,,,,,,,,38 - 101 m²,,,
Leilighet,Andel,2,77,93,4,1972,G - mørkegrønn,1125000,https://www.finn.no/realestate/homes/ad.html?finnkode=238907941,238907941,0,,,,,,,,,,,,,,
Leilighet,Andel,2,71,74,2,2003,,2590000,https://www.finn.no/realestate/homes/ad.html?finnkode=238907692,238907692,0,,,,,,,3,,,,,,,
Leilighet,,1,35 ,35,2.,2021,,2590000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238907392&page=2&sort=PUBLISHED_DESC,238907392,1,Eier (Selveier),,,,,,3,7,,,,,,
Leilighet,Eier (Selveier),2,92,100,4,2019,C - mørkegrønn,4950000,https://www.finn.no/realestate/homes/ad.html?finnkode=235377022,235377022,0,,,,,,,,,,,,,,
Leilighet,Andel,1,52,55,2,1982,F - rød,1500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238907272,238907272,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,85,88,1,2005,,3300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238906898,238906898,0,,,,,15187 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),1,38,38,2,2020,,3190000,https://www.finn.no/realestate/homes/ad.html?finnkode=238904468,238904468,0,,,,,,,2,,,,,,,
Leilighet,Eier (Selveier),2,72,72,1,1932,G - rød,3700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238906788,238906788,0,,,,,,,,,,,,,,
Tomannsbolig,,4,148 ,158,,2021,,6190000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238906654&page=2&sort=PUBLISHED_DESC,238906654,1,Eier (Selveier),H0102,,,,,5,,,,,,,
Enebolig,Eier (Selveier),3,188,190,,1970,,4500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238906403,238906403,0,,,,,5901 m² (eiet),,4,,,,,,,
Leilighet,Andel,1,60,72,4,1955,G - mørkegrønn,3200000,https://www.finn.no/realestate/homes/ad.html?finnkode=238500700,238500700,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),3,84,84,,2018,B - rød,3125000,https://www.finn.no/realestate/homes/ad.html?finnkode=231089867,231089867,0,,,,,838 m² (eiet),,,,,,,,,
Leilighet,Andel,2,74,74,3,1895,G - oransje,5800000,https://www.finn.no/realestate/homes/ad.html?finnkode=238906164,238906164,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),5,333,360,,1996,E - gul,12700000,https://www.finn.no/realestate/homes/ad.html?finnkode=232197179,232197179,0,,,,,1157 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),1,43,43,2,2010,C - rød,3990000,https://www.finn.no/realestate/homes/ad.html?finnkode=224100065,224100065,0,,,,,,,,,,,,,,
Leilighet,Andel,2,65,65,1,1950,G - oransje,1250000,https://www.finn.no/realestate/homes/ad.html?finnkode=238904884,238904884,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,46,48,3,1998,D - rød,2300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238818633,238818633,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),7,242,314,,1983,E - gul,4950000,https://www.finn.no/realestate/homes/ad.html?finnkode=238904484,238904484,0,,,,,940 m² (eiet),,,,,,,,,
Rekkehus,Eier (Selveier),3,93,98,2,1982,F - oransje,4650000,https://www.finn.no/realestate/homes/ad.html?finnkode=238853897,238853897,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),6,315,323,,1975,F - oransje,23600000,https://www.finn.no/realestate/homes/ad.html?finnkode=221272054,221272054,0,,,,,1071 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),,247,264,,2010,C - oransje,16950000,https://www.finn.no/realestate/homes/ad.html?finnkode=230381147,230381147,0,,,,,1017 m² (eiet),294 m²,,,,,,,,
Leilighet,Eier (Selveier),2,73,73,1,2006,D - rød,4600000,https://www.finn.no/realestate/homes/ad.html?finnkode=237308669,237308669,0,,,,,,,,,,,,,,
