Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Eieform,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,dato:21.06: ca. sol fra 15:30 - 21:30,Boligselgerforsikring,Grunnflate
Leilighet,Eier (Selveier),3,111,117,4,2021,B - rød,11290000,https://www.finn.no/realestate/homes/ad.html?finnkode=238840766,238840766,0,,,,,,,,,,,,,,
Leilighet,Andel,2,56,56,3,1925,F - oransje,4650000,https://www.finn.no/realestate/homes/ad.html?finnkode=238839668,238839668,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,190,202,,1997,D - oransje,10900000,https://www.finn.no/realestate/homes/ad.html?finnkode=236085557,236085557,0,,,,,,,7,,,,,,,
Leilighet,Andel,2,76,79,1,2000,D - gul,2565000,https://www.finn.no/realestate/homes/ad.html?finnkode=234667935,234667935,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),3,110,112,2,2002,D - rød,3150000,https://www.finn.no/realestate/homes/ad.html?finnkode=238839122,238839122,0,,,,,,,,,,,,,,
Leilighet,,1,46 ,523,,2021,,1356000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238839015&page=7&sort=PUBLISHED_DESC,238839015,1,Andel,06-05,,,,,,,,,,,,
Enebolig,Eier (Selveier),1,78,86,,1857,G - oransje,790000,https://www.finn.no/realestate/homes/ad.html?finnkode=218437715,218437715,0,,,,,430 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),1,43,43,7,2019,B - mørkegrønn,4500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238513644,238513644,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,126,141,,1985,E - oransje,2200000,https://www.finn.no/realestate/homes/ad.html?finnkode=238838136,238838136,0,,,,,829 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),5,225,225,3,1991,,6500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238834589,238834589,0,,,,,,,8,,,,,,,
Leilighet,Andel,1,46,51,2,1964,F - rød,2500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238838064,238838064,0,,,,,,,,,,,,,,
Leilighet,Andel,2,79,84,3,1976,E - rød,2800000,https://www.finn.no/realestate/homes/ad.html?finnkode=238838128,238838128,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,130,136,1,2017,C - oransje,3890000,https://www.finn.no/realestate/homes/ad.html?finnkode=238836703,238836703,0,,,,,,,,,,,,,,
Leilighet,Andel,2,67,72,3,1962,E - rød,3450000,https://www.finn.no/realestate/homes/ad.html?finnkode=238507614,238507614,0,,,,,,,,,,,,,,
Leilighet,Andel,1,45,45,5,2008,D - rød,1750000,https://www.finn.no/realestate/homes/ad.html?finnkode=238837164,238837164,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,129,139,1,2017,C - oransje,4290000,https://www.finn.no/realestate/homes/ad.html?finnkode=238836646,238836646,0,,,,,,,,,,,,,,
Leilighet,Andel,,90,90,,1983,G - mørkegrønn,4650000,https://www.finn.no/realestate/homes/ad.html?finnkode=238836782,238836782,0,,,,,35601 m² (eiet),100 m²,,,,,,,,
Enebolig,Eier (Selveier),6,200,209,2,1984,E - oransje,7750000,https://www.finn.no/realestate/homes/ad.html?finnkode=233009547,233009547,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,84,84,3,1911,,7900000,https://www.finn.no/realestate/homes/ad.html?finnkode=238484312,238484312,0,,,,,,,3,,,,,,,
Leilighet,Eier (Selveier),2,74,78,1,2020,C - mørkegrønn,7200000,https://www.finn.no/realestate/homes/ad.html?finnkode=238410855,238410855,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,81 ,78,1,2021,,3700000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238832334&page=7&sort=PUBLISHED_DESC,238832334,1,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,299,399,,1902,G - rød,4490000,https://www.finn.no/realestate/homes/ad.html?finnkode=238196535,238196535,0,,,,,,,,,,1951,,,,
Leilighet,Andel,2,44,45,1,1935,G - rød,3850000,https://www.finn.no/realestate/homes/ad.html?finnkode=238806338,238806338,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),4,223,237,,1950,G - oransje,7500000,https://www.finn.no/realestate/homes/ad.html?finnkode=234546435,234546435,0,,,,,1384 m² (eiet),,,,,,,,,
Tomannsbolig,Eier (Selveier),5,189,201,,1969,F - oransje,2490000,https://www.finn.no/realestate/homes/ad.html?finnkode=238834590,238834590,0,,,,,1476 m² (eiet),,,,,,,,,
Leilighet,Andel,1,39,39,2,1890,F - rød,3700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238834507,238834507,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,131,131,-4,1978,E - rød,7390000,https://www.finn.no/realestate/homes/ad.html?finnkode=232577673,232577673,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),,33,33,2,2010,,1750000,https://www.finn.no/realestate/homes/ad.html?finnkode=238834430,238834430,0,,,,,2028 m² (eiet),,1,,,,,,,
Leilighet,Eier (Selveier),,,33,2,2021,,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238790947&page=7&sort=PUBLISHED_DESC,238790947,1,,,,,2028 m² (eiet),,1,,,,,,,
Enebolig,Eier (Selveier),3,159,163,,2009,,5450000,https://www.finn.no/realestate/homes/ad.html?finnkode=238834325,238834325,0,,,,,293 m² (eiet),,,,,,,,Ja,
Leilighet,Eier (Selveier),2,50,57,3,2019,,2567150,https://www.finn.no/realestate/homes/ad.html?finnkode=238834197,238834197,0,,,,,1599 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,84,84,2,2014,C - mørkegrønn,6250000,https://www.finn.no/realestate/homes/ad.html?finnkode=238495194,238495194,0,,,,,,,,,,,,,,
Rekkehus,Eier (Selveier),2,105,111,,1952,G - rød,5900000,https://www.finn.no/realestate/homes/ad.html?finnkode=236983944,236983944,0,,,,,,,3,,,,,,,
Enebolig,Eier (Selveier),4,151,178,,1958,F - gul,6490000,https://www.finn.no/realestate/homes/ad.html?finnkode=237722141,237722141,0,,,,,,,6,,,,,,,
Leilighet,Andel,1,36,41,3,1977,,690000,https://www.finn.no/realestate/homes/ad.html?finnkode=194294859,194294859,0,,,,,384 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),2,43,51,,1981,,1550000,https://www.finn.no/realestate/homes/ad.html?finnkode=238832500,238832500,0,,,,,1121 m² (eiet),51 m²,,,,,,,,
Enebolig,Eier (Selveier),5,339,382,,1922,G - rød,5690000,https://www.finn.no/realestate/homes/ad.html?finnkode=236708604,236708604,0,,,,,,,7,,,,,,,
Enebolig,,4,169 ,,,2021,,9850000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238832349&page=7&sort=PUBLISHED_DESC,238832349,1,Eier (Selveier),,,,,,,,,,169 m²,,,
Enebolig,Eier (Selveier),3,111,113,,1940,G - gul,2590000,https://www.finn.no/realestate/homes/ad.html?finnkode=238809060,238809060,0,,,,,705 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),1,58,61,,1951,F - rød,2050000,https://www.finn.no/realestate/homes/ad.html?finnkode=238832710,238832710,0,,,,,537 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),2,150,164,,1969,G - oransje,3590000,https://www.finn.no/realestate/homes/ad.html?finnkode=238832465,238832465,0,,,,,407 m² (eiet),,,,,,,,,
Tomannsbolig,Eier (Selveier),2,67,67,2,1964,G - rød,3390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238481509,238481509,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,59,62,3,2008,,4990000,https://www.finn.no/realestate/homes/ad.html?finnkode=237705802,237705802,0,,,,,,,3,,,,,,,
Enebolig,Eier (Selveier),4,162,162,2,1966,,4800000,https://www.finn.no/realestate/homes/ad.html?finnkode=222331791,222331791,0,,,,,,,5,,,,,,,
Enebolig,Eier (Selveier),4,146,146,,1908,G - oransje,2975000,https://www.finn.no/realestate/homes/ad.html?finnkode=238832297,238832297,0,,,,,1390 m² (eiet),,,,,,,,,
Leilighet,Andel,2,65,65,3,2007,D - mørkegrønn,290000,https://www.finn.no/realestate/homes/ad.html?finnkode=238832273,238832273,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,126,129,3,1981,F - oransje,6500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238832036,238832036,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),1,114,172,,1950,G - oransje,700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238828322,238828322,0,,,,,1430 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),3,82,82,3,1955,G - mørkegrønn,3500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238739736,238739736,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),1,114,172,,1950,G - oransje,700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238828322,238828322,0,,,,,1430 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),4,257,347,,1947,F - gul,10500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238830883,238830883,0,,,,,244 m² (eiet),,,,,,,,,
Leilighet,Andel,2,83,87,5,2005,D - mørkegrønn,5090000,https://www.finn.no/realestate/homes/ad.html?finnkode=238830340,238830340,0,,,,,,,,,,,,,,
Leilighet,Andel,,100,104,,1984,,2295000,https://www.finn.no/realestate/homes/ad.html?finnkode=233759959,233759959,0,,,,,19257 m² (eiet),,,,,,,,Ja,
Leilighet,Andel,2,89,91,1,1924,G - oransje,7600000,https://www.finn.no/realestate/homes/ad.html?finnkode=238829911,238829911,0,,,,,,,,,,,,,,
Leilighet,Andel,1,54,54,2,1989,D - oransje,1890000,https://www.finn.no/realestate/homes/ad.html?finnkode=238829616,238829616,0,,,,,,,,,,,,,,
Leilighet,Andel,2,84,84,1,1970,G - mørkegrønn,2900000,https://www.finn.no/realestate/homes/ad.html?finnkode=238829605,238829605,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,81,94,5,2021,,7590000,https://www.finn.no/realestate/homes/ad.html?finnkode=232925331,232925331,0,,,,,,,3,,,,,,,
Leilighet,Andel,2,67,67,,1961,G - mørkegrønn,3890000,https://www.finn.no/realestate/homes/ad.html?finnkode=238828805,238828805,0,,,,,,,3,,,,,,,
Leilighet,Eier (Selveier),1,47,47,2,2016,C - mørkegrønn,1950000,https://www.finn.no/realestate/homes/ad.html?finnkode=238825965,238825965,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),5,234,267,,1957,G - oransje,5200000,https://www.finn.no/realestate/homes/ad.html?finnkode=214131345,214131345,0,,,,,,,4,,,,,,,
Enebolig,Eier (Selveier),5,,267,,2021,,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=212288559&page=8&sort=PUBLISHED_DESC,212288559,1,,,,,,,4,,,,,,,
Enebolig,Eier (Selveier),5,68 ,267,,2021,,3107500.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=215546543&page=8&sort=PUBLISHED_DESC,215546543,1,,,,,,,4,,,,,,,
Enebolig,Eier (Selveier),3,142,248,,1970,F - oransje,4590000,https://www.finn.no/realestate/homes/ad.html?finnkode=238828489,238828489,0,,,,,958 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,68,68,4,2004,D - mørkegrønn,5490000,https://www.finn.no/realestate/homes/ad.html?finnkode=233441078,233441078,0,,,,,,,,,,,,,,
Leilighet,Andel,2,60,60,4,2005,D - rød,4180000,https://www.finn.no/realestate/homes/ad.html?finnkode=235854097,235854097,0,,,,,,,,,,,,,,
Leilighet,Andel,2,,60,4,2021,,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=228239529&page=8&sort=PUBLISHED_DESC,228239529,1,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,65,65,1,1895,C - oransje,5950000,https://www.finn.no/realestate/homes/ad.html?finnkode=238483561,238483561,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,67,67,2,1991,D - rød,4300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238473975,238473975,0,,,,,,,,,,,,,,
Leilighet,Andel,2,83,95,1,1969,G - oransje,2430000,https://www.finn.no/realestate/homes/ad.html?finnkode=235896651,235896651,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,63,65,5,2021,A - oransje,4490000,https://www.finn.no/realestate/homes/ad.html?finnkode=238166598,238166598,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,113,153,,1974,F - oransje,4100000,https://www.finn.no/realestate/homes/ad.html?finnkode=229915948,229915948,0,,,,,,,4,,,,,,,
Leilighet,Eier (Selveier),3,89,89,3,2002,D - rød,7200000,https://www.finn.no/realestate/homes/ad.html?finnkode=238826502,238826502,0,,,,,,,,,,,,,,
Leilighet,Andel,0,37,44,14,1974,E - mørkegrønn,2090000,https://www.finn.no/realestate/homes/ad.html?finnkode=238805983,238805983,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,58,58,1,1917,G - rød,3250000,https://www.finn.no/realestate/homes/ad.html?finnkode=238816979,238816979,0,,,,,,,,,,,,,,
Leilighet,Andel,2,62,65,2,1990,,1550000,https://www.finn.no/realestate/homes/ad.html?finnkode=238825593,238825593,0,,,,,,70 m²,,,,,,,,
Enebolig,Eier (Selveier),4,238,308,2,1970,,15000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238291380,238291380,0,,,,,,,6,,,,,,,
Rekkehus,Eier (Selveier),3,99,99,,2007,,3590000,https://www.finn.no/realestate/homes/ad.html?finnkode=238825521,238825521,0,,,,,11315 m² (eiet),,4,,,,,,,
Leilighet,Eier (Selveier),2,80,84,,2014,C - rød,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=233005671,233005671,0,,,,,2802 m² (eiet),,,,,,,,,
Leilighet,Andel,2,72,72,4,1956,F - lysegrønn,4095000,https://www.finn.no/realestate/homes/ad.html?finnkode=237528946,237528946,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,177,252,,1976,D - gul,3290000,https://www.finn.no/realestate/homes/ad.html?finnkode=211736016,211736016,0,,,,,,,5,,,,,,,
Enebolig,,3,134 ,,,2021,,4990000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238825011&page=8&sort=PUBLISHED_DESC,238825011,1,Eier (Selveier),,,,,,,,,,134 m²,,,
Enebolig,,3,55 ,,,2021,,2940000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=215541068&page=8&sort=PUBLISHED_DESC,215541068,1,Eier (Selveier),,,,,,,,,,134 m²,,,
Leilighet,Andel,0,43,43,2,1966,G - rød,3190000,https://www.finn.no/realestate/homes/ad.html?finnkode=238817773,238817773,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),2,59,62,,2018,B - rød,2250000,https://www.finn.no/realestate/homes/ad.html?finnkode=227746625,227746625,0,,,,,,,3,,,,,,,
Leilighet,Andel,2,100,100,4,2021,,8890000,https://www.finn.no/realestate/homes/ad.html?finnkode=230381657,230381657,0,,,,,,,3,,,,,,,
Leilighet,Eier (Selveier),2,73,76,1,2001,,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238823549,238823549,0,,,,,2907 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,,76,1,2021,,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=222418764&page=8&sort=PUBLISHED_DESC,222418764,1,,,,,2907 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,90,94,,1910,G - oransje,2750000,https://www.finn.no/realestate/homes/ad.html?finnkode=235386325,235386325,0,,,,,431 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),4,207,225,,1954,,2400000,https://www.finn.no/realestate/homes/ad.html?finnkode=238823228,238823228,0,,,,,957 m² (eiet),254 m²,,,,,,,,
Leilighet,Andel,4,94,97,4,1973,G - rød,8800000,https://www.finn.no/realestate/homes/ad.html?finnkode=234501747,234501747,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,23,23,4,1937,,2850000,https://www.finn.no/realestate/homes/ad.html?finnkode=238486102,238486102,0,,,,,,,1,,,,,,,
Leilighet,Eier (Selveier),1,50,55,2,2016,B - mørkegrønn,2840000,https://www.finn.no/realestate/homes/ad.html?finnkode=223027490,223027490,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,138,146,,2021,C - oransje,5790000,https://www.finn.no/realestate/homes/ad.html?finnkode=235870395,235870395,0,,,,,1572 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),,148,194,,1958,,2690000,https://www.finn.no/realestate/homes/ad.html?finnkode=238822144,238822144,0,,,,,938 m² (eiet),,,,,,,,Ja,91 m²
Leilighet,Andel,1,46,56,2,1973,,1570000,https://www.finn.no/realestate/homes/ad.html?finnkode=238822112,238822112,0,,,,,,,2,,,,,,,
Leilighet,Eier (Selveier),2,71,74,4,2015,D - mørkegrønn,3020000,https://www.finn.no/realestate/homes/ad.html?finnkode=222402161,222402161,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),4,135,135,,2021,,7000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238821971,238821971,0,,,,,2377 m² (eiet),151 m²,,,,,,,,
Leilighet,Eier (Selveier),1,53,53,3,1937,F - mørkegrønn,3700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238821962,238821962,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,216,223,,1987,E - gul,5990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238821722,238821722,0,,,,,2648 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),3,84,87,3,1900,G - mørkegrønn,6390000,https://www.finn.no/realestate/homes/ad.html?finnkode=237758937,237758937,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,216,223,,1987,E - gul,5990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238821722,238821722,0,,,,,2648 m² (eiet),,,,,,,,,
Tomannsbolig,Eier (Selveier),2,101,104,,1990,D - gul,3590000,https://www.finn.no/realestate/homes/ad.html?finnkode=235869753,235869753,0,,,,,1336 m² (eiet),,,,,,,,,
Tomannsbolig,Eier (Selveier),2,116 ,104,,2021,,4825000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238512361&page=9&sort=PUBLISHED_DESC,238512361,1,,,,,1336 m² (eiet),,,,,,,,,
Tomannsbolig,Eier (Selveier),2,94,94,2,1970,E - gul,2190000,https://www.finn.no/realestate/homes/ad.html?finnkode=237655221,237655221,0,,,,,,,,,,,,,,
Leilighet,Andel,1,56,56,4,1964,G - rød,1650000,https://www.finn.no/realestate/homes/ad.html?finnkode=238821390,238821390,0,,,,,,,,,,,,,,
Leilighet,Andel,2,64,64,3,1953,F - mørkegrønn,4680000,https://www.finn.no/realestate/homes/ad.html?finnkode=238469613,238469613,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,114,120,,1981,F - oransje,3700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238820738,238820738,0,,,,,401 m² (eiet),,,,,,,,,
Tomannsbolig,Eier (Selveier),1,52,72,1,1917,G - oransje,2250000,https://www.finn.no/realestate/homes/ad.html?finnkode=238814908,238814908,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),4,101,104,,1992,,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=233558410,233558410,0,,,,,192 m² (eiet),,5,,,,,,,
Leilighet,Andel,1,84,84,,1983,,2300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238819597,238819597,0,,,,,8723 m² (eiet),92 m²,,,,,,,,
Leilighet,Eier (Selveier),3,116,116,,2003,,5350000,https://www.finn.no/realestate/homes/ad.html?finnkode=238819428,238819428,0,,,,,,,4,,Eiet,,,,,
Leilighet,Eier (Selveier),2,76,78,2,1982,E - rød,4100000,https://www.finn.no/realestate/homes/ad.html?finnkode=238796838,238796838,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,79,80,1,1996,E - oransje,3350000,https://www.finn.no/realestate/homes/ad.html?finnkode=224371926,224371926,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),5,130,208,,,G - gul,300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238818720,238818720,0,,,,,1572 m² (eiet),,,,,,,,,
Leilighet,Andel,0,32,32,4,1906,,650000,https://www.finn.no/realestate/homes/ad.html?finnkode=221629713,221629713,0,,,,,,,1,,,,,,,
Leilighet,Andel,2,58,63,2,2005,D - rød,1690000,https://www.finn.no/realestate/homes/ad.html?finnkode=238813963,238813963,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,160,161,,1972,E - gul,8900000,https://www.finn.no/realestate/homes/ad.html?finnkode=238818409,238818409,0,,,,,921 m² (eiet),,,,,,,,,
Leilighet,Andel,,39,43,1,1955,G - rød,3600000,https://www.finn.no/realestate/homes/ad.html?finnkode=237292941,237292941,0,,,,,,,1,,,,,,,
Enebolig,Eier (Selveier),3,108,145,,1978,F - oransje,3090000,https://www.finn.no/realestate/homes/ad.html?finnkode=238817860,238817860,0,,,,,801 m² (eiet),,,,,,,,,
Rekkehus,Andel,3,128,142,,1967,G - rød,12500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238506058,238506058,0,,,,,9467 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,63,70,2,2018,B - lysegrønn,2550000,https://www.finn.no/realestate/homes/ad.html?finnkode=238813443,238813443,0,,,,,,,,,,,,,,
Leilighet,Andel,1,31,31,,1936,G - mørkegrønn,3200000,https://www.finn.no/realestate/homes/ad.html?finnkode=238817156,238817156,0,,,,,4874 m² (eiet),,,,,,,,,
Leilighet,,2,71.5,,,2021,,4350000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=208336409&page=9&sort=PUBLISHED_DESC,208336409,1,Eier (Selveier),,,,,,,,,,60 - 83 m²,,,
Enebolig,Eier (Selveier),6,428,458,,1986,F - oransje,35500000,https://www.finn.no/realestate/homes/ad.html?finnkode=229542797,229542797,0,,,,,1031 m² (eiet),,,,,,,,,
Enebolig,Andel,2,91,107,,1978,G - oransje,1990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238816686,238816686,0,,,,,26920 m² (eiet),,,,,,,,,
Leilighet,Andel,2,64,65,,1962,G - oransje,1540000,https://www.finn.no/realestate/homes/ad.html?finnkode=238816390,238816390,0,,,,,4272 m² (eiet),,,,,,,,,
Leilighet,Andel,1,,60,1,2004,D - rød,1119000,https://www.finn.no/realestate/homes/ad.html?finnkode=238815710,238815710,0,,,,,,,2,,,,,,,
Tomannsbolig,Eier (Selveier),2,75,89,,1951,G - oransje,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=222460347,222460347,0,,,,,634 m² (eiet),,,,,,,,,
Rekkehus,Andel,3,111,115,,1986,F - oransje,3990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238815532,238815532,0,,,,,8012 m² (eiet),,,,,,,,,
Gårdsbruk/Småbruk,Eier (Selveier),12,833,979,,2008,B - lysegrønn,12000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238078235,238078235,0,,,,,3537500 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,72,76,2,2017,C - mørkegrønn,4100000,https://www.finn.no/realestate/homes/ad.html?finnkode=226991047,226991047,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,113,117,3,2021,B - rød,5190000,https://www.finn.no/realestate/homes/ad.html?finnkode=232871955,232871955,0,,,,,,,,,,,,,,
Rekkehus,Andel,3,80,89,2,1963,G - oransje,1990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238797906,238797906,0,,,,,,,,,,,,,,
Leilighet,Andel,2,77,80,1,1997,F - oransje,1925000,https://www.finn.no/realestate/homes/ad.html?finnkode=238814396,238814396,0,,,,,,,,,,,,,,
Leilighet,Andel,1,49,49,5,2008,B - lysegrønn,3650000,https://www.finn.no/realestate/homes/ad.html?finnkode=238814259,238814259,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),2,78,83,2,1810,,1750000,https://www.finn.no/realestate/homes/ad.html?finnkode=238400052,238400052,0,,,,,,,,,,1983,,,,
Enebolig,Andel,3,91,107,,1992,,1500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238813622,238813622,0,,,,,4733 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),3,117,198,2,2007,C - gul,3300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238813515,238813515,0,,,,,,,,,,,,,,
Leilighet,Andel,1,52,52,2,1954,G - oransje,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238813388,238813388,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,114,,,1938,G - oransje,2650000,https://www.finn.no/realestate/homes/ad.html?finnkode=238812979,238812979,0,,,,,1714 m² (eiet),131 m²,,,,,,,,
Leilighet,Eier (Selveier),2,45,48,3,2018,,3220000,https://www.finn.no/realestate/homes/ad.html?finnkode=229106506,229106506,0,,,,,654 m² (eiet),,,,,,,,,
Tomannsbolig,,3,126 ,,,2021,,3980000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238812441&page=9&sort=PUBLISHED_DESC,238812441,1,Eier (Selveier),,,,,,,,,,126 m²,,,
Leilighet,Andel,1,52,54,3,1975,F - rød,4000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238216671,238216671,0,,,,,,,,,,,,,,
Leilighet,Andel,1,51,51,4,1966,G - rød,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238505772,238505772,0,,,,,,,,,,,,,,
Gårdsbruk/Småbruk,Eier (Selveier),2,66,128,,1987,,980000,https://www.finn.no/realestate/homes/ad.html?finnkode=238683559,238683559,0,,,,,85000 m² (eiet),,,,,,,,,
Enebolig,Eier (Selveier),3,100,103,,1956,,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=233196098,233196098,0,,,,,411 m² (eiet),,4,,,,,,,
Enebolig,Eier (Selveier),3,200,236,,1921,G - oransje,6500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238510925,238510925,0,,,,,3680 m² (eiet),,,,,,,,,
Leilighet,Andel,3,66,66,1,1962,F - oransje,1750000,https://www.finn.no/realestate/homes/ad.html?finnkode=238811165,238811165,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,136,148,,,,3990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238811091,238811091,0,,,,,872 m² (eiet),,6,,,,,,,
Leilighet,Eier (Selveier),1,35,35,4,1962,G - rød,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238810917,238810917,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,173,173,3,1952,,4390000,https://www.finn.no/realestate/homes/ad.html?finnkode=234383741,234383741,0,,,,,,,4,,,,,,,
Leilighet,Andel,1,42,42,2,2001,D - mørkegrønn,3300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238488190,238488190,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),5,194,199,,1952,G - gul,4890000,https://www.finn.no/realestate/homes/ad.html?finnkode=238380968,238380968,0,,,,,,,7,,,,,,,
Enebolig,Eier (Selveier),2,75,87,,1900,,3300000,https://www.finn.no/realestate/homes/ad.html?finnkode=194169292,194169292,0,,,,,621 m² (eiet),96 m²,,,,,,,,
Leilighet,Eier (Selveier),4,203,207,6,1987,F - oransje,14000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238810337,238810337,0,,,,,,,,,,,,,,
