Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID
Enebolig;Eier (Selveier);3;87;178;;1967;G - oransje;3290000;https://www.finn.no/realestate/homes/ad.html?finnkode=238899994;238899994
Leilighet;Andel;1;54;59;1;1976;F - rød;1100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238901975;238901975
Enebolig;Eier (Selveier);3;111;208;;1889;G - oransje;2200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238467426;238467426
Leilighet;Andel;2;76;85;1;1969;F - rød;2175000;https://www.finn.no/realestate/homes/ad.html?finnkode=231532605;231532605
Enebolig;Eier (Selveier);3;93;130;2;1952;G - gul;1490000;https://www.finn.no/realestate/homes/ad.html?finnkode=238208731;238208731
Leilighet;Eier (Selveier);3;76;79;2;2000;D - rød;7000000;https://www.finn.no/realestate/homes/ad.html?finnkode=237307362;237307362
Leilighet;Andel;2;73;73;;1963;G - rød;2000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238900193;238900193
Leilighet;Eier (Selveier);1;54;54;5;2002;D - mørkegrønn;4850000;https://www.finn.no/realestate/homes/ad.html?finnkode=238481915;238481915
Leilighet;Eier (Selveier);2;68;71;2;2015;;4750000;https://www.finn.no/realestate/homes/ad.html?finnkode=237276045;237276045
Bygård/Flermannsbolig;Eier (Selveier);2;75;75;;1938;G - oransje;1790000;https://www.finn.no/realestate/homes/ad.html?finnkode=236976930;236976930
Leilighet;Aksje;2;74;74;3;1951;G - rød;3990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795362;238795362
Leilighet;Aksje;2;74;74;3;1951;G - rød;4775000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=209642176&page=2&sort=PUBLISHED_DESC;209642176
Enebolig;Eier (Selveier);5;193;301;3;1913;;1790000;https://www.finn.no/realestate/homes/ad.html?finnkode=238899429;238899429
Leilighet;Eier (Selveier);2;54;57;2;2012;B - oransje;3150000;https://www.finn.no/realestate/homes/ad.html?finnkode=233676980;233676980
Leilighet;Andel;1;51;54;1;1959;G - oransje;2390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238799445;238799445
Enebolig;Eier (Selveier);4;110;133;3;1949;G - gul;1100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238894678;238894678
Leilighet;Aksje;3;80;83;;1922;;7250000;https://www.finn.no/realestate/homes/ad.html?finnkode=235479667;235479667
Leilighet;Aksje;3;80;83;;1922;;6555000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219148511&page=2&sort=PUBLISHED_DESC;219148511
Leilighet;Andel;2;73;82;1;1953;;3790000;https://www.finn.no/realestate/homes/ad.html?finnkode=238814422;238814422
Enebolig;Eier (Selveier);5;190;203;;2007;;6390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238898280;238898280
Leilighet;Eier (Selveier);2;74;77;1;1991;D - rød;3150000;https://www.finn.no/realestate/homes/ad.html?finnkode=236161939;236161939
