Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID
Tomannsbolig;Eier (Selveier);4;135;135;;2021;;7000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238821971;238821971
Leilighet;Eier (Selveier);1;53;53;3;1937;F - mørkegrønn;3700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238821962;238821962
Enebolig;Eier (Selveier);3;216;223;;1987;E - gul;5990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238821722;238821722
Tomannsbolig;Eier (Selveier);2;101;104;;1990;D - gul;3590000;https://www.finn.no/realestate/homes/ad.html?finnkode=235869753;235869753
Tomannsbolig;Eier (Selveier);2;101;104;;1990;D - gul;4825000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238512361&page=7&sort=PUBLISHED_DESC;238512361
Tomannsbolig;Eier (Selveier);2;94;94;2;1970;E - gul;2190000;https://www.finn.no/realestate/homes/ad.html?finnkode=237655221;237655221
Leilighet;Andel;1;56;56;4;1964;G - rød;1650000;https://www.finn.no/realestate/homes/ad.html?finnkode=238821390;238821390
Leilighet;Andel;2;64;64;3;1953;F - mørkegrønn;4680000;https://www.finn.no/realestate/homes/ad.html?finnkode=238469613;238469613
Leilighet;Eier (Selveier);1;28;28;1;1890;;2790000;https://www.finn.no/realestate/homes/ad.html?finnkode=238522416;238522416
Enebolig;Eier (Selveier);3;114;120;;1981;F - oransje;3700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238820738;238820738
Tomannsbolig;Eier (Selveier);1;52;72;1;1917;G - oransje;2250000;https://www.finn.no/realestate/homes/ad.html?finnkode=238814908;238814908
Tomannsbolig;Eier (Selveier);4;101;104;;1992;;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=233558410;233558410
Leilighet;Andel;1;84;84;;1983;;2300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238819597;238819597
Leilighet;Eier (Selveier);3;116;116;;2003;;5350000;https://www.finn.no/realestate/homes/ad.html?finnkode=238819428;238819428
Leilighet;Eier (Selveier);2;76;78;2;1982;E - rød;4100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238796838;238796838
Leilighet;Eier (Selveier);2;79;80;1;1996;E - oransje;3350000;https://www.finn.no/realestate/homes/ad.html?finnkode=224371926;224371926
Enebolig;Eier (Selveier);5;130;208;;;G - gul;300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238818720;238818720
Leilighet;Andel;0;32;32;4;1906;;650000;https://www.finn.no/realestate/homes/ad.html?finnkode=221629713;221629713
Leilighet;Andel;2;58;63;2;2005;D - rød;1690000;https://www.finn.no/realestate/homes/ad.html?finnkode=238813963;238813963
Enebolig;Eier (Selveier);4;160;161;;1972;E - gul;8900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238818409;238818409
Leilighet;Andel;;39;43;1;1955;G - rød;3600000;https://www.finn.no/realestate/homes/ad.html?finnkode=237292941;237292941
Enebolig;Eier (Selveier);3;108;145;;1978;F - oransje;3090000;https://www.finn.no/realestate/homes/ad.html?finnkode=238817860;238817860
Rekkehus;Andel;3;128;142;;1967;G - rød;12500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238506058;238506058
Leilighet;Eier (Selveier);2;63;70;2;2018;B - lysegrønn;2550000;https://www.finn.no/realestate/homes/ad.html?finnkode=238813443;238813443
Leilighet;Andel;1;31;31;;1936;G - mørkegrønn;3200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238817156;238817156
Leilighet;Andel;1;31;31;;1936;G - mørkegrønn;4350000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=208336409&page=8&sort=PUBLISHED_DESC;208336409
Enebolig;Eier (Selveier);6;428;458;;1986;F - oransje;35500000;https://www.finn.no/realestate/homes/ad.html?finnkode=229542797;229542797
Enebolig;Andel;2;91;107;;1978;G - oransje;1990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238816686;238816686
Leilighet;Andel;2;64;65;;1962;G - oransje;1540000;https://www.finn.no/realestate/homes/ad.html?finnkode=238816390;238816390
Leilighet;Andel;1;;60;1;2004;D - rød;1119000;https://www.finn.no/realestate/homes/ad.html?finnkode=238815710;238815710
Tomannsbolig;Eier (Selveier);2;75;89;;1951;G - oransje;2390000;https://www.finn.no/realestate/homes/ad.html?finnkode=222460347;222460347
Rekkehus;Andel;3;111;115;;1986;F - oransje;3990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238815532;238815532
Gårdsbruk/Småbruk;Eier (Selveier);12;833;979;;2008;B - lysegrønn;12000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238078235;238078235
Leilighet;Eier (Selveier);2;72;76;2;2017;C - mørkegrønn;4100000;https://www.finn.no/realestate/homes/ad.html?finnkode=226991047;226991047
Leilighet;Eier (Selveier);2;113;117;3;2021;B - rød;5190000;https://www.finn.no/realestate/homes/ad.html?finnkode=232871955;232871955
Rekkehus;Andel;3;80;89;2;1963;G - oransje;1990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238797906;238797906
Leilighet;Andel;2;77;80;1;1997;F - oransje;1925000;https://www.finn.no/realestate/homes/ad.html?finnkode=238814396;238814396
Leilighet;Andel;1;49;49;5;2008;B - lysegrønn;3650000;https://www.finn.no/realestate/homes/ad.html?finnkode=238814259;238814259
Enebolig;Eier (Selveier);2;78;83;2;1810;;1750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238400052;238400052
Enebolig;Andel;3;91;107;;1992;;1500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238813622;238813622
Enebolig;Eier (Selveier);3;117;198;2;2007;C - gul;3300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238813515;238813515
Leilighet;Andel;1;52;52;2;1954;G - oransje;2390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238813388;238813388
Enebolig;Eier (Selveier);3;114;;;1938;G - oransje;2650000;https://www.finn.no/realestate/homes/ad.html?finnkode=238812979;238812979
Leilighet;Eier (Selveier);2;45;48;3;2018;;3220000;https://www.finn.no/realestate/homes/ad.html?finnkode=229106506;229106506
Leilighet;Eier (Selveier);2;45;48;3;2018;;3980000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238812441&page=8&sort=PUBLISHED_DESC;238812441
Leilighet;Andel;1;52;54;3;1975;F - rød;4000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238216671;238216671
Leilighet;Andel;1;51;51;4;1966;G - rød;2390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238505772;238505772
Gårdsbruk/Småbruk;Eier (Selveier);2;66;128;;1987;;980000;https://www.finn.no/realestate/homes/ad.html?finnkode=238683559;238683559
Enebolig;Eier (Selveier);3;100;103;;1956;;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=233196098;233196098
Enebolig;Eier (Selveier);3;200;236;;1921;G - oransje;6500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238510925;238510925
Leilighet;Andel;3;66;66;1;1962;F - oransje;1750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238811165;238811165
Enebolig;Eier (Selveier);4;136;148;;;;3990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238811091;238811091
Leilighet;Eier (Selveier);1;35;35;4;1962;G - rød;2390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238810917;238810917
Leilighet;Andel;1;42;42;2;2001;D - mørkegrønn;3300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238488190;238488190
Enebolig;Eier (Selveier);5;194;199;;1952;G - gul;4890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238380968;238380968
Leilighet;Eier (Selveier);4;203;207;6;1987;F - oransje;14000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238810337;238810337
Enebolig;Eier (Selveier);2;75;87;;1900;;3300000;https://www.finn.no/realestate/homes/ad.html?finnkode=194169292;194169292
Leilighet;Andel;2;66;66;2;1967;B - lysegrønn;3590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238468285;238468285
Leilighet;Andel;2;70;73;3;1953;;4150000;https://www.finn.no/realestate/homes/ad.html?finnkode=238806981;238806981
Leilighet;Eier (Selveier);2;;86;1;2019;;4790000;https://www.finn.no/realestate/homes/ad.html?finnkode=238475858;238475858
Leilighet;Eier (Selveier);2;73;73;5;1925;F - oransje;7900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238810055;238810055
Enebolig;Eier (Selveier);3;156;254;2;1987;F - rød;4750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238806441;238806441
Enebolig;Eier (Selveier);3;156;254;2;1987;F - rød;1277000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238809024&page=9&sort=PUBLISHED_DESC;238809024
Enebolig;Eier (Selveier);3;156;254;2;1987;F - rød;5150000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=235468689&page=9&sort=PUBLISHED_DESC;235468689
Leilighet;Eier (Selveier);2;63;65;2;1905;F - rød;1700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238701738;238701738
Enebolig;Eier (Selveier);4;184;229;;1971;F - gul;13900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238808790;238808790
Enebolig;Eier (Selveier);4;184;229;;1971;F - gul;2790000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=209945409&page=9&sort=PUBLISHED_DESC;209945409
Enebolig;Eier (Selveier);2;85;85;;1945;G - oransje;1400000;https://www.finn.no/realestate/homes/ad.html?finnkode=228770702;228770702
Leilighet;Eier (Selveier);2;60;60;;1956;F - rød;1750000;https://www.finn.no/realestate/homes/ad.html?finnkode=235855770;235855770
Enebolig;Eier (Selveier);4;306;320;3;1972;D - lysegrønn;6250000;https://www.finn.no/realestate/homes/ad.html?finnkode=238806991;238806991
Enebolig;Eier (Selveier);2;99;106;;1964;;3500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238413931;238413931
Enebolig;Eier (Selveier);3;123;135;;1988;E - oransje;5350000;https://www.finn.no/realestate/homes/ad.html?finnkode=238805872;238805872
Enebolig;Eier (Selveier);3;120;240;;1978;;2850000;https://www.finn.no/realestate/homes/ad.html?finnkode=238724673;238724673
Leilighet;Andel;2;78;87;4;1962;;3800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238485960;238485960
Tomannsbolig;Andel;3;96;108;2;1989;;2500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238513023;238513023
Enebolig;Eier (Selveier);4;110;114;;1990;F - oransje;2900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238109855;238109855
Leilighet;Andel;2;59;59;11;1967;D - mørkegrønn;3490000;https://www.finn.no/realestate/homes/ad.html?finnkode=237487227;237487227
Leilighet;Andel;3;110;115;1;1987;F - rød;8200000;https://www.finn.no/realestate/homes/ad.html?finnkode=235950368;235950368
Enebolig;Eier (Selveier);3;158;175;;1961;G - oransje;1800000;https://www.finn.no/realestate/homes/ad.html?finnkode=235974324;235974324
Leilighet;Eier (Selveier);2;59;59;1;1898;G - oransje;5790000;https://www.finn.no/realestate/homes/ad.html?finnkode=238578437;238578437
Enebolig;Eier (Selveier);3;179;189;;1985;F - oransje;8950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238803168;238803168
Leilighet;Andel;1;36;53;3;1975;F - mørkegrønn;700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238478328;238478328
Enebolig;Eier (Selveier);2;98;111;;1890;G - oransje;2390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238789858;238789858
Bygård/Flermannsbolig;Eier (Selveier);2;141;628;3;1982;F - rød;12000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238802443;238802443
Leilighet;Andel;3;89;89;3;1971;;2290000;https://www.finn.no/realestate/homes/ad.html?finnkode=238309974;238309974
Leilighet;Eier (Selveier);2;121;121;5;1900;F - oransje;13900000;https://www.finn.no/realestate/homes/ad.html?finnkode=232469856;232469856
Enebolig;Eier (Selveier);5;181;222;;1982;G - oransje;700000;https://www.finn.no/realestate/homes/ad.html?finnkode=207635675;207635675
Enebolig;Eier (Selveier);5;213;264;;2018;B - oransje;12700000;https://www.finn.no/realestate/homes/ad.html?finnkode=235398012;235398012
Leilighet;Andel;1;57;57;1;1896;;4150000;https://www.finn.no/realestate/homes/ad.html?finnkode=238801548;238801548
Enebolig;Eier (Selveier);;245;257;;1970;;10500000;https://www.finn.no/realestate/homes/ad.html?finnkode=234816508;234816508
Leilighet;Eier (Selveier);2;70;70;4;1880;G - rød;6200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238801180;238801180
Enebolig;Eier (Selveier);4;229;320;;1763;G - gul;5400000;https://www.finn.no/realestate/homes/ad.html?finnkode=234945148;234945148
Leilighet;Andel;1;50;50;3;1938;;4080000;https://www.finn.no/realestate/homes/ad.html?finnkode=238800518;238800518
Enebolig;Eier (Selveier);3;140;223;;1966;G - oransje;1900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238800416;238800416
Enebolig;Eier (Selveier);3;140;223;;1966;G - oransje;3230000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219405927&page=9&sort=PUBLISHED_DESC;219405927
Leilighet;Andel;1;47;57;3;1972;D - rød;2630000;https://www.finn.no/realestate/homes/ad.html?finnkode=238800024;238800024
Rekkehus;Eier (Selveier);3;146;148;;1984;;6950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238799933;238799933
Leilighet;Andel;3;96;97;3;2019;C - mørkegrønn;8550000;https://www.finn.no/realestate/homes/ad.html?finnkode=235576779;235576779
Enebolig;Eier (Selveier);4;196;201;;2000;;7890000;https://www.finn.no/realestate/homes/ad.html?finnkode=229473021;229473021
Leilighet;Eier (Selveier);2;51;545;4;;;4195000;https://www.finn.no/realestate/homes/ad.html?finnkode=230248987;230248987
Leilighet;Eier (Selveier);2;51;545;4;;;17500000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238798725&page=9&sort=PUBLISHED_DESC;238798725
Enebolig;Eier (Selveier);5;258;298;;1946;G - oransje;5300000;https://www.finn.no/realestate/homes/ad.html?finnkode=229931526;229931526
Enebolig;Eier (Selveier);3;143;148;;2007;D - rød;5950000;https://www.finn.no/realestate/homes/ad.html?finnkode=236795168;236795168
Leilighet;Eier (Selveier);1;41;41;4;2017;C - mørkegrønn;3150000;https://www.finn.no/realestate/homes/ad.html?finnkode=236605208;236605208
Leilighet;Eier (Selveier);2;55;58;4;2003;D - mørkegrønn;4890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238799045;238799045
Leilighet;Eier (Selveier);2;78;83;2;2021;;3300000;https://www.finn.no/realestate/homes/ad.html?finnkode=234701496;234701496
Leilighet;Andel;2;70;84;1;1958;;3800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238300572;238300572
Leilighet;Andel;1;44;46;3;1971;G - rød;1690000;https://www.finn.no/realestate/homes/ad.html?finnkode=238790292;238790292
Enebolig;Eier (Selveier);3;122;175;;2007;D - oransje;10500000;https://www.finn.no/realestate/homes/ad.html?finnkode=237376979;237376979
Enebolig;Eier (Selveier);6;214;312;2;1844;G - gul;12990000;https://www.finn.no/realestate/homes/ad.html?finnkode=230573357;230573357
Enebolig;Eier (Selveier);4;197;233;;1977;G - rød;6000000;https://www.finn.no/realestate/homes/ad.html?finnkode=235570713;235570713
Leilighet;Andel;1;54;54;4;1958;G - rød;4200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238797448;238797448
Enebolig;Eier (Selveier);1;74;76;2;1889;;2500000;https://www.finn.no/realestate/homes/ad.html?finnkode=235971237;235971237
Leilighet;Eier (Selveier);3;84;84;3;2009;D - mørkegrønn;8200000;https://www.finn.no/realestate/homes/ad.html?finnkode=235251597;235251597
Leilighet;Andel;3;67;69;1;2008;E - rød;1300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238797293;238797293
Leilighet;Andel;2;63;67;1;2008;;2500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238796169;238796169
Rekkehus;Eier (Selveier);3;124;147;;2005;C - rød;3690000;https://www.finn.no/realestate/homes/ad.html?finnkode=238221970;238221970
Leilighet;Eier (Selveier);2;118;118;-1;1973;E - rød;3600000;https://www.finn.no/realestate/homes/ad.html?finnkode=238499997;238499997
Leilighet;Eier (Selveier);3;116;125;4;2016;;7490000;https://www.finn.no/realestate/homes/ad.html?finnkode=234388341;234388341
Enebolig;Eier (Selveier);4;157;223;;1981;F - gul;1790000;https://www.finn.no/realestate/homes/ad.html?finnkode=238796302;238796302
Leilighet;Andel;1;76;98;1;1966;;1890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238796407;238796407
Leilighet;Eier (Selveier);2;63;63;2;2013;;5900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238483796;238483796
Leilighet;Eier (Selveier);1;33;33;2;1947;F - mørkegrønn;3500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238510965;238510965
Enebolig;Eier (Selveier);3;146;165;3;1983;E - gul;4300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795449;238795449
Rekkehus;Eier (Selveier);3;114;131;;1959;G - oransje;500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795862;238795862
Rekkehus;Eier (Selveier);3;114;131;;1959;G - oransje;2990000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238795117&page=10&sort=PUBLISHED_DESC;238795117
Rekkehus;Andel;5;129;126;;2002;D - oransje;8950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795663;238795663
Leilighet;Eier (Selveier);4;169;176;4;1976;D - rød;12900000;https://www.finn.no/realestate/homes/ad.html?finnkode=237036749;237036749
Leilighet;Andel;1;50;50;1;1977;F - rød;2100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795407;238795407
Enebolig;Eier (Selveier);3;130;132;;1991;D - gul;3490000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795314;238795314
Enebolig;Eier (Selveier);2;108;109;;1931;G - gul;1950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238487659;238487659
Leilighet;Andel;3;76;79;2;1969;E - rød;2850000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795095;238795095
Enebolig;Eier (Selveier);4;195;219;3;1981;E - gul;2690000;https://www.finn.no/realestate/homes/ad.html?finnkode=209862628;209862628
Enebolig;Eier (Selveier);4;143;207;;1959;G - gul;1490000;https://www.finn.no/realestate/homes/ad.html?finnkode=238794066;238794066
Tomannsbolig;Eier (Selveier);3;153;166;2;1984;E - oransje;7450000;https://www.finn.no/realestate/homes/ad.html?finnkode=232235345;232235345
Enebolig;Eier (Selveier);3;128;160;;1933;;1375000;https://www.finn.no/realestate/homes/ad.html?finnkode=235011347;235011347
Enebolig;Eier (Selveier);5;219;219;;1880;;6800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238497521;238497521
Leilighet;Aksje;2;60;60;;1939;F - mørkegrønn;4350000;https://www.finn.no/realestate/homes/ad.html?finnkode=238793068;238793068
Leilighet;Eier (Selveier);2;66;66;1;1960;G - oransje;3100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238792921;238792921
Leilighet;Eier (Selveier);4;185;190;2;2005;D - oransje;6450000;https://www.finn.no/realestate/homes/ad.html?finnkode=219541284;219541284
Enebolig;Eier (Selveier);3;115;120;2;;C - lysegrønn;5140000;https://www.finn.no/realestate/homes/ad.html?finnkode=238788289;238788289
Enebolig;Eier (Selveier);3;115;120;2;;C - lysegrønn;3529000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=222193886&page=10&sort=PUBLISHED_DESC;222193886
Enebolig;Eier (Selveier);4;171;180;1;1981;G - oransje;5990000;https://www.finn.no/realestate/homes/ad.html?finnkode=234957405;234957405
Rekkehus;Eier (Selveier);1;67;78;;1974;;1200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238790852;238790852
Enebolig;Eier (Selveier);2;105;233;;1969;F - gul;4000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238790750;238790750
Leilighet;Eier (Selveier);;51;53;1;1977;;1350000;https://www.finn.no/realestate/homes/ad.html?finnkode=238790087;238790087
Leilighet;Andel;2;70;77;5;1949;G - mørkegrønn;5600000;https://www.finn.no/realestate/homes/ad.html?finnkode=238789501;238789501
Leilighet;Eier (Selveier);;34;35;2;1938;F - mørkegrønn;3500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238789179;238789179
Leilighet;Eier (Selveier);2;93;93;2;1957;G - rød;1400000;https://www.finn.no/realestate/homes/ad.html?finnkode=238480689;238480689
Leilighet;Andel;2;76;76;4;1952;G - rød;6000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238788493;238788493
Leilighet;Andel;2;76;76;4;1952;G - rød;5140000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238505370&page=10&sort=PUBLISHED_DESC;238505370
Leilighet;Andel;2;76;76;4;1952;G - rød;;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232010536&page=10&sort=PUBLISHED_DESC;232010536
Leilighet;Andel;2;76;76;4;1952;G - rød;5750000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238472272&page=10&sort=PUBLISHED_DESC;238472272
Enebolig;Eier (Selveier);3;227;227;;1900;G - rød;1800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238787734;238787734
Leilighet;Andel;1;38;38;2;1939;E - gul;3670000;https://www.finn.no/realestate/homes/ad.html?finnkode=238787079;238787079
Leilighet;Andel;2;68;68;1;1955;G - mørkegrønn;3690000;https://www.finn.no/realestate/homes/ad.html?finnkode=238759049;238759049
Leilighet;Andel;3;83;91;4;1955;G - mørkegrønn;4900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238761542;238761542
Leilighet;Eier (Selveier);2;51;51;4;2009;D - mørkegrønn;4900000;https://www.finn.no/realestate/homes/ad.html?finnkode=238598128;238598128
Leilighet;Eier (Selveier);2;76;76;3;1981;F - rød;5200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238526947;238526947
Leilighet;Eier (Selveier);1;40;40;4;1884;E - rød;3800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238717361;238717361
Enebolig;Eier (Selveier);3;95;100;;1984;;790000;https://www.finn.no/realestate/homes/ad.html?finnkode=230216412;230216412
Enebolig;Eier (Selveier);5;162;167;;1988;D - gul;11700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238842006;238842006
Leilighet;Aksje;2;75;75;4;1918;G - rød;7500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238718412;238718412
Rekkehus;Andel;3;107;107;2;1984;E - gul;9300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238505647;238505647
Leilighet;Eier (Selveier);2;74;78;2;1991;E - oransje;2700000;https://www.finn.no/realestate/homes/ad.html?finnkode=216867872;216867872
Leilighet;Andel;2;65;66;2;1955;G - mørkegrønn;4100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238489236;238489236
Leilighet;Eier (Selveier);1;65;65;1;1885;F - rød;5600000;https://www.finn.no/realestate/homes/ad.html?finnkode=238509989;238509989
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;4290000;https://www.finn.no/realestate/homes/ad.html?finnkode=238753662;238753662
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;6295000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219087588&page=11&sort=PUBLISHED_DESC;219087588
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;6595000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=192293745&page=11&sort=PUBLISHED_DESC;192293745
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;5905000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=208463779&page=11&sort=PUBLISHED_DESC;208463779
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;6595000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=192304007&page=11&sort=PUBLISHED_DESC;192304007
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;4667500.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=192231133&page=11&sort=PUBLISHED_DESC;192231133
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;4240000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=222433422&page=11&sort=PUBLISHED_DESC;222433422
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;3895000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=211786101&page=11&sort=PUBLISHED_DESC;211786101
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;6850000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=195629975&page=11&sort=PUBLISHED_DESC;195629975
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;4600000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=123841774&page=11&sort=PUBLISHED_DESC;123841774
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;2093750.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219091104&page=11&sort=PUBLISHED_DESC;219091104
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;3900000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=141456383&page=11&sort=PUBLISHED_DESC;141456383
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;8070000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=222454502&page=11&sort=PUBLISHED_DESC;222454502
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;1840000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=77477929&page=11&sort=PUBLISHED_DESC;77477929
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;6755000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=228723420&page=11&sort=PUBLISHED_DESC;228723420
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;3645000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=228738211&page=11&sort=PUBLISHED_DESC;228738211
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;6020000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=228742365&page=11&sort=PUBLISHED_DESC;228742365
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;3249000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=208437870&page=11&sort=PUBLISHED_DESC;208437870
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;3882500.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=208457166&page=11&sort=PUBLISHED_DESC;208457166
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;7050000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=192269499&page=11&sort=PUBLISHED_DESC;192269499
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;4290000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=139237205&page=11&sort=PUBLISHED_DESC;139237205
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;5730000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=182838289&page=11&sort=PUBLISHED_DESC;182838289
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;2175000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=158886719&page=11&sort=PUBLISHED_DESC;158886719
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;6800000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232113674&page=11&sort=PUBLISHED_DESC;232113674
Enebolig;Eier (Selveier);2;148;203;2;1938;G - gul;4775000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=222438283&page=11&sort=PUBLISHED_DESC;222438283
